userID,caption,trial_number,image_name,group,tag,evaluator
20240830203638,"A young individual stands in a grassy area beside a horse, holding a rope attached to the bridle and both the person and horse look at a  small fire in the foreground. Behind a man in blue stands next to another horse and there is a fence behind him. In the background is a wooded area.",6,Image_1.png,effort,E6,1
20240830164419,"A group of five people enjoy a leisurely walk on a paved pathway in a park. There are three benches along the path. The furthest bench is empty, a woman sits alone on the middle bench and a man and woman sit on the closest bench. There are large trees and lush green grass on an overcast day. A pavilion with a grey roof is in the distance.",7,Image_10.png,effort,E2,1
20240903002024,A male and a female sit on a bench overlooking a calm sea as the sun sets in the distance ,11,Image_11.png,effort,E7,1
20240830164735,A young boy struggles to jump his scooter over the street curb on to the side walk. You can see the bright blue sky in the distance behind a flat suburban neighborhood in the background.,7,Image_12.png,effort,E4,1
20240903131402,Two female athletes in a competitive chase for the ball during an intense soccer match,11,Image_13.png,default,D6,1
20240903025313,"A man treks up snowy mountain side with helmet, backpack, and gear.",2,Image_15.png,default,D4,1
20240830170343,"A group of individuals stands by an indoor water feature with orange fish swimming in it, engaging with the exhibit.",6,Image_2.png,default,D3,1
20240903071307,"A person stands beside a foggy lake at dawn, under the shelter of a large tree",9,Image_3.png,default,D5,1
20240830052628,"Dozens of city pedestrians walk by a puppet theater cart, adorned with a colorful painting on its side, on a busy day with skyscrapers in the distance.",6,Image_5.png,effort,E1,1
20240830164726,Customers interact with a vendor at a dimly lit outdoor market where a man looks to be grabbing some items and the women next to him is pulling money out of her pocket for the purchase. ,9,Image_6.png,effort,E3,1
20240830203634,"A man in a red jacket sits on a bench surrounded by greenery, preparing a meal outdoors. This man has many items sitting around him. He also has a black baseball cap on and denim shorts. ",11,Image_7.png,effort,E5,1
20240830165013,A red off-road vehicle is perched on an uneven dirt path with a spectator in the distance.,6,Image_9.png,default,D2,1
20240903002024,"A young individual stands in a grassy area, holding a rope, with a small fire in the foreground and open land in the background while a man stares at a distance",9,Image_1.png,effort,E7,2
20240830164726,People enjoy a leisurely walk on a paved pathway in a park with a man and his dog sitting on the benches in the park and lush grass on a cloudy day,2,Image_10.png,effort,E3,2
20240903025313,A man and woman sit on a bench overlooking a calm sea as the sun sets in the distance with skyline and boat in view,12,Image_11.png,default,D4,2
20240830165013,A young person is doing tricks outside on a scooter,4,Image_12.png,default,D2,2
20240903131725,Two athletes ladies  in a competitive chase for the ball during a soccer match,11,Image_13.png,default,D7,2
20240903071307,"A traveler climbs across a gentle snowy trail in a quiet forest, taking in the serene winter landscape.",4,Image_15.png,default,D5,2
20240830203634,"Many adults and children stand by an indoor water feature, engaging with the exhibit. There is a lovely plant and a few orange fish in the water. The back wall is a brilliant lime green color. ",3,Image_2.png,effort,E5,2
20240903131402,"A lone figure stands beside a tranquil lake fishing at dawn covered in a thin layer of fog, under the shelter of a large tree",6,Image_3.png,default,D6,2
20240830164419,"Pedestrians walk by a colorful street vendor cart on a busy day in the city. A man and woman are featured walking in the foreground. In the background, there are large buildings and crowds of people walking across a street. It is daytime. ",2,Image_5.png,effort,E2,2
20240830164735,An older man and young women interact with a street vendor selling ethnic food at a outdoor market at night.,5,Image_6.png,effort,E4,2
20240830203638,"A man in a red jacket sits on a wooden bench surrounded by greenery. He stirs a pot of food on the bench beside him. Behind him on the ground is a black and red bag, and leaning against the bench is a hiking pole.",11,Image_7.png,effort,E6,2
20240830170343,A red off-road vehicle is perched on an uneven dirt path with a spectator in the distance.,4,Image_9.png,default,D3,2
20240903025313,A teen girl dressed in a sweater and pants is holding the reigns of a brown horse next to a small fire with a man in a blue shirt in the background,5,Image_1.png,default,D4,3
