userID,caption,trial_number,image_name,group,tag,evaluator
20240129161024,"A young woman in knee-high rubber boots and a black long-sleeve shirt with an athletic logo stands in a grassy field, holding a rope in her left hand that is tied to a horse's green bit, on her right. The horse faces toward a firepit in the foreground, along with the woman. In the background, an older white male with a baseball cap, blue shirt, blue jeans, and a lanyard looks toward the fire as well. A horse walks partially off camera to his left. There are logs scattered on the background behind the man and the second horse. Wooden fences are in the far background, and a forest is behind them.",2,Image_1.png,effort,E4,1
20240125151039,People enjoy a leisurely walk on a paved pathway in a park with benches and lush grass on a cloudy day. There is a man and his dog on a bench in the foreground and shed in the background.,10,Image_10.png,effort,E2,1
20240126144429,Two people sit on a bench overlooking a calm sea as the sun sets in the distance and a singular boat navigates through,4,Image_11.png,default,D3,1
20240125205520,"A young boy wearing a yellow t-shirt, gray shorts, and an orange helmet is jumping over the curb on a scooter. The day is sunny and residential homes fill the background.",2,Image_12.png,default,D2,1
20240129161024,"Two Caucasian women engage in a competitive chase for the ball during a soccer match on a green field, with their teammates watching from the background.",12,Image_13.png,effort,E4,1
20240125151039,A male mountaineer with a backpack is climbing up a jagged cliff with snow axes. There are pine shrubs around the mountain and a pair of hiking sticks in front of him up the cliff.,2,Image_15.png,effort,E2,1
2024,"A group of individuals stands by an indoor water feature, engaging with the exhibit",1,Image_2.png,control,O,1
20240126170315,"A person stands alone beside a tranquil lake at dawn, under the shelter of a large tree. The reflection of the trees is visible over the water of the lake.",4,Image_3.png,default,D4,1
20240126131801,City pedestrians walk by a colorful street vendor cart labeled Puppet Theatre on a crowded day. The scenery behind them has towering buildings and street lights,11,Image_5.png,effort,E3,1
20240125120801,"A man and two women, where one woman is occluded by a tree in the foreground, interact with a female vendor while they interact with the products on a table between them at a dimly lit outdoor market with a blurry yellow taxi in the background",11,Image_6.png,effort,E1,1
20240126131801,"A man in a bright red jacket, white shorts, and black baseball cap sits on a bench surrounded by short, green, leafy plants while shirring a soup-like meal in a metal pot",8,Image_7.png,effort,E3,1
20240125143337,A red off-road vehicle is stuck the side of a hill between two rocks with a young girl wearing a green shirt and blue shorts and an adult looking on. The adult is partially visible. The front tire of the vehicle is not touching the ground. The sun is shining and strong shadows are visible.  ,12,Image_9.png,default,D1,1
20240125143337,"A young girl wearing a black sweatshirt, brown pants, and riding boots stands in a grassy area holding the reigns for the brown horse on the left, with a small fire in the foreground and an older man looking on and standing next to another brown horse in the background. A forest is visible behind the grassy area.",1,Image_1.png,default,D1,2
20240126131801,People enjoy a leisurely walk on a paved pathway in a well maintained park with benches and lush grass. A man on the phone and his large black dog sit on a bench as the dog looks to the side attentively. A boy in a red shirt on the pathway is bouncing a basketball and there is another woman sitting on another bench along the path. There is a gazebo in the distance and it is a cloudy day,12,Image_10.png,effort,E3,2
20240126170315,Two people sit on a bench on the side of a river overlooking it as the sun sets in the distance. There is a ship in the sea in the line of sight of the couple. There are buildings vaguely visible across the river.,11,Image_11.png,default,D4,2
20240126144429,A young person is enjoying a sunny day outside doing tricks on a scooter,5,Image_12.png,default,D3,2
20240125143337,Two young women in a competitive chase for the ball during a soccer match. The woman on the right has lighter hair and is wearing a blue uniform with white lettering.  The woman on the left is closer to the ball and is wearing a white uniform with black lettering. One teammate from each team is seen in the background.,4,Image_13.png,default,D1,2
20240126131801,A hiker climbs a steep snowy cliff in a quiet forest with hiking gear,4,Image_15.png,effort,E3,2
20240125120801,"A group of kids stand by an indoor pool-like water feature with three small orange fish, engaging with the exhibit on the tiles surrounding the water as an older woman prevents one of the children from getting too close and onlookers walk by in the background",9,Image_2.png,effort,E1,2
2024,"A lone figure stands beside a tranquil lake at dawn, under the shelter of a large tree",1,Image_3.png,control,O,2
20240129161024,"City pedestrians walk by a colorful puppet theater display on the back of a yellow cargo bike, with painted figures resembling the character in The Scream. The most prominent pedestrian is wearing a brown jacket and blue jeans. The middle ground contains an intersection where pedestrians wait to cross in one direction and cross in the. Two cop cars wait for the light to change. A stone building that resembles a fort is behind the intersection, with taller office-style buildings behind them. It looks like New York City.",4,Image_5.png,effort,E4,2
20240125151039,An Asian man and woman are patronizing a street food vendor with a yellow taxi parked behind them. There is another woman on the left with her face blocked by a tree.,12,Image_6.png,effort,E2,2
20240129161024,"A thin white man with glasses, short brown hair, and in a red jacket sits on a bench surrounded by greenery, stirs a pot on a camping stove, with his backpack and other materials behind him.",5,Image_7.png,effort,E4,2
20240125205520,A red off-road vehicle is appears to be stuck in the rut of an uneven dirt path with a young girl in a green shirt and blue shorts looking from the side. The driver is still inside the vehicle and another individual is standing outside at the passenger window.,7,Image_9.png,default,D2,2
20240125205520,"A teenage girl in jeans and a black branded hoodie stands in a grassy area, looking at a small fire in the foreground. She is holding a rope that is attached to the muzzle of a large brown horse. A grassy ranch land fills the background with an older man in jeans and a blue button-up shirt looking at her. Another large horse stands beside the man. ",4,Image_1.png,default,D2,3
20240129161024,"People enjoy a leisurely walk on a paved pathway in a park with benches and lush grass on a cloudy day. There is a pavilion in the background, with pine trees behind it. A black lab is in the nearest bench.",6,Image_10.png,effort,E4,3
2024,Two people sit on a bench overlooking a calm sea as the sun sets in the distance,1,Image_11.png,control,O,3
20240126170315,A young boy is enjoying a sunny day outside on a scooter. The boy is doing a stunt with the scooter near the footpath. It is a residential area with bungalows in the background.,8,Image_12.png,default,D4,3
20240125205520,A female athlete in a white jersey and black shorts prepares to kick a soccer ball away from an incoming player in a blue jersey and blue shorts in a grassy field with two of their teammates in the background.,5,Image_13.png,default,D2,3
20240129161024,"A caucasian traveler uses hooks to climb a steep snowy hillside, which has rocks, moss, and greenery poking out from under the snow. A pair of walking poles sticks out o the  snow in the foreground, and footprints lead toward the photographer.",9,Image_15.png,effort,E4,3
20240125151039,A group of children by a coy fish pool and their guardians. One child is sitting by the pool while two others are leaning in. One  child is being prevented from falling by a female child and female guardian. There are other adults in the background walking past a green wall.,3,Image_2.png,effort,E2,3
