userID,original_caption,final_caption,trial_number,image_name,startImageTime,deltaImageTime,startEditTime,deltaEditTime,group,priming,trial_occurrence
20240314172051,Customers interact with a vendor at a dimly lit outdoor market,An adult man and two young women interact with a female vendor at night on a dimly lit food stall on the side of a street. There is a tree to the left covering most of one of the young women and a taxi passing behind everyone with its top light on. There is a bucket holding drinks on the other side of the street.,1,Image_6.png,0.004,199.888,26.966,158.573,effort,before,1
20240314172051,A young person is enjoying a sunny day outside on a scooter,"A young boy is enjoying a sunny day outside on a scooter jumping from the street onto the sidewalk. He has a yellow shirt, shorts, and an orange helmet. There is a look of concentration on his face. There are three houses behind him, the one in the middle with two vehicles and the other two with only one each. The houses have greenery in front of them that includes bushes and small trees.",2,Image_12.png,199.893,180.744,205.469,168.997,effort,before,1
20240314172051,"A lone figure stands beside a tranquil lake at dawn, under the shelter of a large tree","A lone man fishes beside a tranquil lake at dawn, under the shelter of a large tree located on a hill behind him to the left. Across the lake there are trees and a hill with more trees. There is fog over the lake. and the sunlight from the sun coming up makes it bright to the point where much cant be seen from the middle of the land on the other side of the lake.",3,Image_3.png,380.638,177.295,397.054,156.358,effort,before,1
20240314172051,People enjoy a leisurely walk on a paved pathway in a park with benches and lush grass on a cloudy day,"People enjoy a leisurely walk on a paved pathway in a park. Two of them are middle aged women walking side by side towards the front and two of them are adult individuals walking away. There is a young boy holding a red ball getting ready to kick it. There are benches along the path and on one of them there is an adult woman sitting down with her legs crossed, and another has an old man sitting down taking a phone call with his legs crossed and a black dog besides him staring into the distance. There is lush grass and trees with what appears to be a fountain to the left and a small building to the back. The trees are to the right of the image. It is a cloudy day",4,Image_10.png,557.933,259.618,577.021,233.311,effort,before,1
20240314172051,"A young individual stands in a grassy area, holding a rope, with a small fire in the foreground and open land in the background","A young girl stands in a grassy area, holding a rope tied to a brown horse that is slumped down, she has a black sweatshirt and a concerned expression. There is a small fire in the foreground where wood is burning inside a brown container. There is open land covered in grass behind her with a thick forest all the way in the back. The grassy area is separated by wooden fences with logs in the ground some distance behind the girl where an older man dressed in blue is standing staring at the girl with a dark brown horse besides him.",5,Image_1.png,817.552,207.040,828.800,186.195,effort,before,1
20240314172051,City pedestrians walk by a colorful street vendor cart on a busy day,City pedestrians crossing a street and in a corner of the street walk by a colorful cart being pulled by a yellow tricycle parked by a newspaper box. The cart is tall and painted in bright colors with a sign that says puppet theatre. There are multiple cars waiting to cross the street while pedestrians completely cover the street while crossing it. In the background there is many sky scrapers and a single 2 story building with a more classical design.,6,Image_5.png,1024.592,277.238,1048.892,245.607,effort,before,1
20240314172051,"A group of individuals stands by an indoor water feature, engaging with the exhibit",Adults are walking by a path besides a fountain with fish while a young woman and 6 children stop by the fountain. A toddler in a red shirt is trying to get into the fountain while a young girl tries to stop her by pulling her back with an expression of surprise on her face. The young woman is reaching out with her hand to help the girl pull back the toddler. The people walking behind and the other 4 children are watching this all happen. There is a green building in the background. The fountain is made out of stone with the bottom of it being blue tiles and there are three yellow fish swimming. There is a green plant to the bottom left of the image.,7,Image_2.png,1323.590,274.393,1356.532,238.144,effort,after,1
20240314172051,"A man in a red jacket sits on a bench surrounded by greenery, preparing a meal outdoors","A man in a red jacket, black hat, and white shorts sits on a gray wooden bench surrounded by dark green bushes with a fence in the distance. He is using a black spoon to stir a chrome pot that contains soup. There is a red can that contains fuel besides the pot on the bench and is being used to power the pot. There is also a thermos besides the man and a lid on the edge of the bench besides the pot.",8,Image_7.png,1597.984,213.274,1610.801,196.098,effort,after,1
20240314172051,"A traveler treks across a gentle snowy trail in a quiet forest, taking in the serene winter landscape",A traveler is climbing a snowy mountain using tools being held in his hands to hold onto the ground to climb a steep section. The traveler has headgear that is connected to a backpack. There are footsteps leading up in front of the traveler on the path he is trying to climb. There is a small pine tree to the left of the screen where the traveler is climbing up. In the background there are steeper sections of the mountain the traveler is trying to climb and it is all covered in snow.,9,Image_15.png,1811.258,192.294,1829.728,169.666,effort,after,1
20240314172051,Two athletes in a competitive chase for the ball during a soccer match,Two young women are playing soccer. One is playing for a blue team and the other one is playing for a white team. The one in blue has a concentrated look on her face as she goes for a tackle in an attempt to get the ball away from the other woman. The other woman has a look of shock on her face with her mouth wide open as she falls down with the ball still in her possession at her right foot. The ball has each pentagon colored white with a black border and each hexagon surrounded in black with a white triangle in the center. They are in a soccer pitch with a red flag in the background representing the edge of the field. There is a woman from the blue team in the right on the back and one from the white team on the left side. Behind them is a black net and behind that there is a bunch of tall bushes completely covering the background. ,10,Image_13.png,2003.552,317.681,2008.751,305.667,effort,after,1
20240314172051,Two people sit on a bench overlooking a calm sea as the sun sets in the distance,"A man dressed in black and a woman dressed in blue, both with glasses sit on a bench overlooking a calm sea as the sun sets in the distance above the skyline of a city with 6 very tall buildings. Out of the 6 buildings one is noticeably taller than the rest. There are clouds covering most of the sky except for a circular area above the city and the are behind that. There is a white sail boat with a red line near the top in the middle of the sea, and another boat in the distance to the left.",11,Image_11.png,2321.234,232.496,2336.175,213.762,effort,after,1
